split,id,source_file,cultivation_system,governorate,zone_id,centroid_lat,centroid_lng,area_ha
train,parcel_1777662049508_exj14,parcellesOliviersIntensifs.json,intensif,Zaghouan,Zaghouan__lat182_lng50,36.44573117799003,10.005796194076538,74.01179995745333
train,parcel_1777662108262_dhxlg,parcellesOliviersIntensifs.json,intensif,Zaghouan,Zaghouan__lat182_lng50,36.46268705744264,10.001454983117448,370.10213776960774
train,parcel_1777662148660_qey6r,parcellesOliviersIntensifs.json,intensif,Zaghouan,Zaghouan__lat182_lng50,36.46497407361295,10.018009831828458,140.24199355289807
train,parcel_1777662294718_3mzv8,parcellesOliviersIntensifs.json,intensif,Kairouan,Kairouan__lat177_lng50,35.58004310471582,10.13378325630637,189.62078452448955
train,parcel_1777662316778_yiudt,parcellesOliviersIntensifs.json,intensif,Kairouan,Kairouan__lat177_lng50,35.59280082852207,10.125489234924318,38.67454215888897
train,parcel_1777662471199_933e1,parcellesOliviersIntensifs.json,intensif,Gafsa,Gafsa__lat173_lng44,34.75360689543737,8.97641158103943,81.67683945399635
train,parcel_1777662498867_hce6r,parcellesOliviersIntensifs.json,intensif,Gafsa,Gafsa__lat173_lng44,34.752102277631224,8.967160203240136,58.29151952127791
train,parcel_1777662509830_ph4tb,parcellesOliviersIntensifs.json,intensif,Gafsa,Gafsa__lat173_lng44,34.74681605341263,8.968113362789156,8.74310119685055
train,parcel_1777662532453_yoau8,parcellesOliviersIntensifs.json,intensif,Gafsa,Gafsa__lat173_lng44,34.74482415148131,8.971124410629274,35.54726370316011
train,parcel_1777662559509_oh30t,parcellesOliviersIntensifs.json,intensif,Gafsa,Gafsa__lat173_lng44,34.740832065299436,8.975909153620403,27.05542478094186
train,parcel_1777662581023_xa3jy,parcellesOliviersIntensifs.json,intensif,Gafsa,Gafsa__lat173_lng44,34.73863842339037,8.972633481025698,33.253440495313846
train,parcel_1777662650200_lx0g1,parcellesOliviersIntensifs.json,intensif,Gafsa,Gafsa__lat173_lng44,34.66916872138666,8.84282184552543,402.06179939179646
train,parcel_1777662674673_x7v1z,parcellesOliviersIntensifs.json,intensif,Gafsa,Gafsa__lat173_lng44,34.64095215641744,8.802475929260256,177.95771135487206
train,parcel_1777662687780_8zuuk,parcellesOliviersIntensifs.json,intensif,Gafsa,Gafsa__lat173_lng44,34.64043744913771,8.81484389305115,32.665823337753025
train,parcel_1777662715410_fr6g1,parcellesOliviersIntensifs.json,intensif,Gafsa,Gafsa__lat173_lng44,34.62331447150808,8.838003158569338,128.78852899505316
train,parcel_1777663020929_sz60j,parcellesOliviersIntensifs.json,intensif,Gabes,Gabes__lat168_lng49,33.71250279263221,9.81507182121277,13.15039699051966
train,parcel_1777665966157_egeq5,parcelles_OlivierExtensif.json,extensif,Mahdia,Mahdia__lat176_lng53,35.29014408077731,10.61678409576416,94.92092846720377
train,parcel_1777666096636_lo0y0,parcelles_OlivierExtensif.json,extensif,Sfax,Sfax__lat175_lng52,35.111638726037555,10.40970529828753,369.5143302028536
train,parcel_1777666127269_tb54q,parcelles_OlivierExtensif.json,extensif,Sfax,Sfax__lat175_lng52,35.079084993572636,10.407128334045412,555.0980749596731
train,parcel_1777666170696_fk7cq,parcelles_OlivierExtensif.json,extensif,Sfax,Sfax__lat175_lng52,35.04016654861126,10.557976869436411,1807.1164396063298
train,parcel_1777666196106_hhim9,parcelles_OlivierExtensif.json,extensif,Sfax,Sfax__lat175_lng53,35.03402126841217,10.60953140258789,189.6459480475336
train,parcel_1777666217906_3lfgs,parcelles_OlivierExtensif.json,extensif,Sfax,Sfax__lat175_lng53,35.01032591515165,10.611636205153031,214.9880465862079
train,parcel_1777666232428_43q5u,parcelles_OlivierExtensif.json,extensif,Sfax,Sfax__lat175_lng53,35.007495650996745,10.638310432434082,117.86978313823562
train,parcel_1777666247763_3i29v,parcelles_OlivierExtensif.json,extensif,Sfax,Sfax__lat175_lng53,35.022484536995414,10.621905326843262,58.115115913749065
train,parcel_1777666273477_7e680,parcelles_OlivierExtensif.json,extensif,Sfax,Sfax__lat175_lng53,35.03354468758699,10.626356261117119,54.66463616439917
train,parcel_1777666300643_1c2ue,parcelles_OlivierExtensif.json,extensif,Sfax,Sfax__lat175_lng53,35.02999429325929,10.632070211263803,49.28764309617389
train,parcel_1777666340373_juajr,parcelles_OlivierExtensif.json,extensif,Sfax,Sfax__lat175_lng52,35.04184724251589,10.511949483086083,303.20435155336753
train,parcel_1777666373384_lm2rb,parcelles_OlivierExtensif.json,extensif,Sfax,Sfax__lat175_lng52,35.02142761943708,10.509347915649414,802.5649560894694
train,parcel_1777666392195_gp8ab,parcelles_OlivierExtensif.json,extensif,Sfax,Sfax__lat175_lng52,35.04709578327488,10.434826101575581,59.06211966714234
train,parcel_1777666410382_4ozey,parcelles_OlivierExtensif.json,extensif,Sfax,Sfax__lat175_lng52,35.049998024863385,10.450814366340639,104.69984177156394
train,parcel_1777666449437_wci0q,parcelles_OlivierExtensif.json,extensif,Sfax,Sfax__lat175_lng52,35.038278859834676,10.440098663856245,253.9376947109025
train,parcel_1777666990655_5k85g,parcellesOliviersIntensifs.json,intensif,Kairouan,Kairouan__lat177_lng50,35.55557626769944,10.040951569875082,84.43366113371383
train,parcel_1777667140912_3xckb,parcellesOliviersIntensifs.json,intensif,Gabes,Gabes__lat171_lng49,34.35632086673912,9.895604610443117,294.60529504069433
train,parcel_1777667155941_ci6fx,parcellesOliviersIntensifs.json,intensif,Gabes,Gabes__lat171_lng49,34.33687606387619,9.901460409164429,46.166828108993165
train,parcel_1777667189888_bwda5,parcellesOliviersIntensifs.json,intensif,Gabes,Gabes__lat171_lng49,34.34256781411107,9.91325920278376,105.58105517579072
val,parcel_1777666032243_cm5hf,parcelles_OlivierExtensif.json,extensif,Sfax,Sfax__lat174_lng51,34.99761721270299,10.368983324836284,2104.0940821600525
val,parcel_1777666485645_8qagw,parcelles_OlivierExtensif.json,extensif,Sfax,Sfax__lat174_lng51,34.97289818755533,10.30388116836548,990.7245079752144
val,parcel_1777666507054_wo1vk,parcelles_OlivierExtensif.json,extensif,Sfax,Sfax__lat174_lng51,34.96232081132771,10.326412745884486,778.7330248700009
val,parcel_1777666529889_rdkq2,parcelles_OlivierExtensif.json,extensif,Sfax,Sfax__lat174_lng51,34.98749478916494,10.2738094329834,1078.2700727821218
